Tanggal,Waktu,Response,Protocol,IP,Port,Byte,Domain
23-feb-2022,22:15:17.000,aq,udp,2.16.76.30,50937,55,darmasiswa.kemdikbud.go.id
23-feb-2022,22:15:18.000,aq,udp,168.95.43.172,63117,45,ns1.orion.net.id
23-feb-2022,22:15:17.000,aq,udp,61.220.11.99,16357,44,ns2.wave.net.id
23-feb-2022,22:15:17.000,aq,udp,61.220.9.189,36112,42,ns3.bca.co.id
23-feb-2022,22:15:17.000,aq,udp,61.220.11.99,16248,44,ns2.wave.net.id
23-feb-2022,22:15:18.000,aq,tcp,154.54.249.200,23414,42,seohero.co.id
23-feb-2022,22:15:18.000,aq,tcp,63.140.44.170,38895,64,bpistenagakersaan.go.id
23-feb-2022,22:15:18.000,aq,tcp,23.44.5.144,36966,58,www.watsons.co.id
23-feb-2022,22:15:18.000,ar,udp,153.128.63.232,20310,90,mail.voksel.co.id
23-feb-2022,22:15:17.000,ar,udp,172.69.201.35,57215,685,jne.co.id
23-feb-2022,22:15:18.000,ar,udp,106.241.133.56,33049,710,116.93.178.180-makassar.ip1.co.id
23-feb-2022,22:15:17.000,ar,udp,2.16.76.30,50937,146,darmasiswa.kemdikbud.go.id
23-feb-2022,22:15:18.000,ar,udp,168.95.43.172,63117,725,ns1.orion.net.id
23-feb-2022,22:15:17.000,ar,udp,61.220.11.99,16357,696,ns2.wave.net.id
23-feb-2022,22:15:17.000,ar,udp,61.220.9.189,36112,798,ns3.bca.co.id
23-feb-2022,22:15:17.000,ar,udp,61.220.11.99,16248,696,ns2.wave.net.id
23-feb-2022,22:15:18.000,ar,tcp,154.54.249.200,23414,1832,seohero.co.id
23-feb-2022,22:15:18.000,ar,tcp,63.140.44.170,38895,1832,bpistenagakersaan.go.id
23-feb-2022,22:15:18.000,ar,tcp,23.44.5.144,36966,730,www.watsons.co.id
23-feb-2022,22:15:18.000,aq,udp,63.140.44.170,50394,64,bpistenagakersaan.go.id
23-feb-2022,22:15:18.000,aq,udp,61.220.9.87,54806,44,ns.detik.net.id
23-feb-2022,22:15:18.000,aq,udp,153.128.63.232,20194,46,mail.voksel.co.id
23-feb-2022,22:15:18.000,aq,udp,23.44.5.144,47476,58,www.watsons.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:17.000,aq,udp,61.220.9.110,59294,45,ns1.detik.net.id
23-feb-2022,22:15:17.000,aq,udp,61.220.9.110,33295,44,ns.detik.net.id
23-feb-2022,22:15:18.000,aq,udp,211.16.9.167,19082,39,1wpd.co.id
23-feb-2022,22:15:18.000,ar,udp,63.140.44.170,50394,734,bpistenagakersaan.go.id
23-feb-2022,22:15:18.000,ar,udp,61.220.9.87,54806,789,ns.detik.net.id
23-feb-2022,22:15:18.000,ar,udp,153.128.63.232,20194,90,mail.voksel.co.id
23-feb-2022,22:15:18.000,ar,udp,23.44.5.144,47476,181,www.watsons.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:17.000,ar,udp,61.220.9.110,59294,793,ns1.detik.net.id
23-feb-2022,22:15:17.000,ar,udp,61.220.9.110,33295,789,ns.detik.net.id
23-feb-2022,22:15:18.000,ar,udp,211.16.9.167,19082,98,1wpd.co.id
23-feb-2022,22:15:18.000,aq,udp,153.128.63.232,20521,43,ns1.cbn.net.id
23-feb-2022,22:15:18.000,aq,udp,185.180.100.67,33298,49,ui.ac.id
23-feb-2022,22:15:18.000,aq,udp,23.200.25.205,38366,50,mail.binarasano.co.id
23-feb-2022,22:15:18.000,aq,udp,211.16.9.169,19340,43,c.lazada.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,38.32.122.58,29111,34,www.google.co.id
23-feb-2022,22:15:18.000,aq,udp,154.54.249.200,18705,42,seohero.co.id
23-feb-2022,22:15:18.000,aq,udp,153.128.63.232,20500,43,ns1.cbn.net.id
23-feb-2022,22:15:18.000,ar,udp,153.128.63.232,20521,163,ns1.cbn.net.id
23-feb-2022,22:15:18.000,ar,udp,185.180.100.67,33298,420,ui.ac.id
23-feb-2022,22:15:18.000,ar,udp,23.200.25.205,38366,104,mail.binarasano.co.id
23-feb-2022,22:15:18.000,ar,udp,211.16.9.169,19340,93,c.lazada.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,38.32.122.58,29111,116,www.google.co.id
23-feb-2022,22:15:18.000,ar,udp,154.54.249.200,18705,734,seohero.co.id
23-feb-2022,22:15:18.000,ar,udp,153.128.63.232,20500,163,ns1.cbn.net.id
23-feb-2022,22:15:18.000,aq,udp,168.95.43.172,21748,45,ns1.orion.net.id
23-feb-2022,22:15:18.000,aq,udp,203.85.45.141,53,32,smtp.jne.co.id
23-feb-2022,22:15:18.000,aq,udp,23.44.5.144,60561,58,www.watsons.co.id
23-feb-2022,22:15:18.000,aq,udp,23.200.25.227,58566,50,mail.binarasano.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,168.95.43.172,56452,45,ns2.orion.net.id
23-feb-2022,22:15:18.000,aq,udp,104.123.67.18,54087,44,cf.shopee.co.id
23-feb-2022,22:15:18.000,aq,udp,117.111.29.14,56782,44,ns.detik.net.id
23-feb-2022,22:15:18.000,ar,udp,168.95.43.172,21748,725,ns1.orion.net.id
23-feb-2022,22:15:18.000,ar,udp,203.85.45.141,53,87,smtp.jne.co.id
23-feb-2022,22:15:18.000,ar,udp,23.44.5.144,60561,181,www.watsons.co.id
23-feb-2022,22:15:18.000,ar,udp,23.200.25.227,58566,104,mail.binarasano.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,168.95.43.172,56452,729,ns2.orion.net.id
23-feb-2022,22:15:18.000,ar,udp,104.123.67.18,54087,184,cf.shopee.co.id
23-feb-2022,22:15:18.000,ar,udp,117.111.29.14,56782,135,ns.detik.net.id
23-feb-2022,22:15:18.000,aq,udp,23.58.82.26,52986,48,api.veritrans.co.id
23-feb-2022,22:15:18.000,aq,udp,203.85.45.141,53,32,smtp.jne.co.id
23-feb-2022,22:15:18.000,aq,udp,117.111.29.14,50592,44,ns.detik.net.id
